,Airport_ID,Name,lat,lon,country,continent,IATA,ICAO,Altitude,cluster_coefficient,degree
113,114,Watson Lake Airport,60.11640167236328,-128.82200622558594,Canada,North America,YQH,CYQH,2255,,
114,115,Kenora Airport,49.78829956054688,-94.36309814453124,Canada,North America,YQK,CYQK,1332,0.0,6.0
115,116,Lethbridge County Airport,49.6302986145,-112.80000305200001,Canada,North America,YQL,CYQL,3048,0.0,2.0
116,117,Greater Moncton International Airport,46.11220169067383,-64.67859649658203,Canada,North America,YQM,CYQM,232,0.7142857142857143,20.0
117,119,Comox Airport,49.71080017089844,-124.88700103759766,Canada,North America,YQQ,CYQQ,84,0.6666666666666666,14.0
118,120,Regina International Airport,50.43190002441406,-104.66600036621094,Canada,North America,YQR,CYQR,1894,1.0,33.0
119,121,Thunder Bay Airport,48.37189865112305,-89.32389831542969,Canada,North America,YQT,CYQT,653,0.16666666666666666,27.0
120,122,Grande Prairie Airport,55.1796989441,-118.885002136,Canada,North America,YQU,CYQU,2195,1.0,8.0
121,123,Yorkton Municipal Airport,51.26470184326172,-102.46199798583984,Canada,North America,YQV,CYQV,1635,,
122,124,North Battleford Airport,52.76919937133789,-108.24400329589844,Canada,North America,YQW,CYQW,1799,,
123,125,Gander International Airport,48.9369010925293,-54.56809997558594,Canada,North America,YQX,CYQX,496,1.0,6.0
124,126,Sydney / J.A. Douglas McCurdy Airport,46.1613998413,-60.047798156700004,Canada,North America,YQY,CYQY,203,1.0,4.0
125,127,Quesnel Airport,53.026100158691406,-122.51000213623048,Canada,North America,YQZ,CYQZ,1789,1.0,8.0
126,128,Resolute Bay Airport,74.71690368649999,-94.9693984985,Canada,North America,YRB,CYRB,215,0.0,4.0
127,129,Rivière-du-Loup Airport,47.76440048217773,-69.58470153808594,Canada,North America,YRI,CYRI,427,,
128,130,Roberval Airport,48.52000045776367,-72.2656021118164,Canada,North America,YRJ,CYRJ,586,,
129,131,Rocky Mountain House Airport,52.4296989441,-114.903999329,Canada,North America,YRM,CYRM,3244,,
130,132,Rankin Inlet Airport,62.811401367200006,-92.1157989502,Canada,North America,YRT,CYRT,94,0.18181818181818185,48.0
131,133,Sudbury Airport,46.625,-80.79889678955078,Canada,North America,YSB,CYSB,1141,0.6,11.0
132,134,Sherbrooke Airport,45.4385986328125,-71.69139862060547,Canada,North America,YSC,CYSC,792,,
133,135,Saint John Airport,45.31610107421875,-65.89029693603516,Canada,North America,YSJ,CYSJ,357,1.0,6.0
134,136,Fort Smith Airport,60.020301818847656,-111.96199798583984,Canada,North America,YSM,CYSM,671,0.5,8.0
135,137,Nanisivik Airport,72.982201,-84.613602,Canada,North America,YSR,CYSR,2106,,
136,138,Summerside Airport,46.44060134887695,-63.83359909057617,Canada,North America,YSU,CYSU,56,,
